LP	LPP	LPPO	IELM	IELMO	SGD	SGDO	GNB	GNBO	OSGWR	OSSGWR	SKM	SSIKM
81.67	74.29	75.95	82.38	79.76	69.29	79.52	81.90	82.86	74.05	77.62	80.24	79.29
53.44	52.38	49.00	55.13	56.69	53.25	49.50	53.19	53.56	56.94	54.13	57.69	55.88
56.38	59.28	52.03	55.43	53.84	55.36	51.30	54.49	52.75	50.65	53.62	54.06	55.22
94.08	92.89	92.76	93.11	92.94	92.46	92.98	93.60	93.11	92.81	92.41	94.08	93.51
93.17	75.92	87.33	83.70	86.40	67.33	70.10	60.58	61.57	91.88	90.28	91.53	90.17
59.02	55.45	55.38	65.18	65.40	72.58	65.52	78.52	66.47	67.20	59.53	71.12	80.62
73.21	77.74	76.13	78.02	78.87	76.51	77.45	63.58	66.51	74.72	73.40	73.68	74.62
86.25	80.00	79.06	78.13	80.94	75.94	85.31	85.94	85.31	75.31	85.63	84.06	85.31
80.21	85.93	84.93	82.79	79.07	76.29	72.21	86.71	82.00	88.50	83.71	81.21	79.71
92.50	89.33	89.67	68.00	76.00	76.17	63.33	89.83	93.50	52.50	65.00	94.33	94.33
81.05	71.08	79.28	78.07	79.13	61.78	77.35	79.22	80.51	74.55	76.87	77.26	76.81
84.53	93.14	85.81	80.81	81.51	83.14	86.16	98.02	98.14	76.86	89.53	91.16	93.72
45.00	44.33	47.00	45.00	41.00	40.33	33.67	36.50	32.17	39.50	45.17	40.83	44.00
94.85	83.95	87.37	87.07	90.15	79.07	78.90	84.03	84.25	93.77	93.50	93.13	92.90
91.90	93.97	93.22	92.47	92.70	95.00	93.45	93.33	91.84	92.41	91.15	92.76	93.85
93.89	81.53	87.92	85.00	89.58	91.25	92.22	94.17	94.58	75.69	85.42	96.11	97.78
