lp	mf	lpp	ielm	sgd	gnb	osgwr	skm
81.67	80.95	74.29	82.38	69.29	81.90	74.05	80.24
53.44	53.63	52.38	55.13	53.25	53.19	56.94	57.69
56.38	54.64	59.28	55.43	55.36	54.49	50.65	54.06
94.08	92.50	92.89	93.11	92.46	93.60	92.81	94.08
93.17	87.55	75.92	83.70	67.33	60.58	91.88	91.53
59.02	52.47	55.45	65.18	72.58	78.52	67.20	71.12
73.21	76.04	77.74	78.02	76.51	63.58	74.72	73.68
86.25	83.13	80.00	78.13	75.94	85.94	75.31	84.06
80.21	82.79	85.93	82.79	76.29	86.71	88.50	81.21
92.50	88.17	89.33	68.00	76.17	89.83	52.50	94.33
81.05	72.89	71.08	78.07	61.78	79.22	74.55	77.26
84.53	83.95	93.14	80.81	83.14	98.02	76.86	91.16
45.00	39.83	44.33	45.00	40.33	36.50	39.50	40.83
94.85	84.57	83.95	87.07	79.07	84.03	93.77	93.13
91.90	92.47	93.97	92.47	95.00	93.33	92.41	92.76
93.89	80.56	81.53	85.00	91.25	94.17	75.69	96.11
