lp	mfo	lppo	ielmo	sgdo	gnbo	ossgwr	ssikm
81.67	80.95	75.95	79.76	79.52	82.86	77.62	79.29
53.44	55.38	49.00	56.69	49.50	53.56	54.13	55.88
56.38	57.54	52.03	53.84	51.30	52.75	53.62	55.22
94.08	93.60	92.76	92.94	92.98	93.11	92.41	93.51
93.17	91.50	87.33	86.40	70.10	61.57	90.28	90.17
59.02	51.92	55.38	65.40	65.52	66.47	59.53	80.62
73.21	77.92	76.13	78.87	77.45	66.51	73.40	74.62
86.25	85.00	79.06	80.94	85.31	85.31	85.63	85.31
80.21	86.79	84.93	79.07	72.21	82.00	83.71	79.71
92.50	87.83	89.67	76.00	63.33	93.50	65.00	94.33
81.05	78.37	79.28	79.13	77.35	80.51	76.87	76.81
84.53	87.91	85.81	81.51	86.16	98.14	89.53	93.72
45.00	49.17	47.00	41.00	33.67	32.17	45.17	44.00
94.85	87.72	87.37	90.15	78.90	84.25	93.50	92.90
91.90	93.62	93.22	92.70	93.45	91.84	91.15	93.85
93.89	90.69	87.92	89.58	92.22	94.58	85.42	97.78
